model,trial,position,variant,seconds,checksum,validation
mobilenetv2-7,19,1,locality,0.075586042,edfc61fe94f718f0,"max_abs_error,1.788139e-05,failed,0,threads,1,pass"
shufflenet-v2-12,0,0,base,0.07993975,c5f9f077a3108ff4,"max_abs_error,6.198883e-06,failed,0,threads,1,pass"
shufflenet-v2-12,0,1,locality,0.032166875,c5f9f077a3108ff4,"max_abs_error,6.198883e-06,failed,0,threads,1,pass"
shufflenet-v2-12,1,0,locality,0.031897875,c5f9f077a3108ff4,"max_abs_error,6.198883e-06,failed,0,threads,1,pass"
shufflenet-v2-12,1,1,base,0.079820375,c5f9f077a3108ff4,"max_abs_error,6.198883e-06,failed,0,threads,1,pass"
shufflenet-v2-12,2,0,locality,0.0321445,c5f9f077a3108ff4,"max_abs_error,6.198883e-06,failed,0,threads,1,pass"
shufflenet-v2-12,2,1,base,0.07984325,c5f9f077a3108ff4,"max_abs_error,6.198883e-06,failed,0,threads,1,pass"
shufflenet-v2-12,3,0,base,0.079843208,c5f9f077a3108ff4,"max_abs_error,6.198883e-06,failed,0,threads,1,pass"
shufflenet-v2-12,3,1,locality,0.031892208,c5f9f077a3108ff4,"max_abs_error,6.198883e-06,failed,0,threads,1,pass"
shufflenet-v2-12,4,0,base,0.079708334,c5f9f077a3108ff4,"max_abs_error,6.198883e-06,failed,0,threads,1,pass"
shufflenet-v2-12,4,1,locality,0.031765083,c5f9f077a3108ff4,"max_abs_error,6.198883e-06,failed,0,threads,1,pass"
shufflenet-v2-12,5,0,locality,0.032662375,c5f9f077a3108ff4,"max_abs_error,6.198883e-06,failed,0,threads,1,pass"
shufflenet-v2-12,5,1,base,0.079897333,c5f9f077a3108ff4,"max_abs_error,6.198883e-06,failed,0,threads,1,pass"
shufflenet-v2-12,6,0,locality,0.032183416,c5f9f077a3108ff4,"max_abs_error,6.198883e-06,failed,0,threads,1,pass"
